word,n,sent
mope,1,-1
morbidly,1,-1
motivated,1,1
musty,1,-1
nagging,1,-1
nervousness,1,-1
nifty,1,1
noble,1,1
novelty,1,1
nuisance,1,-1
numb,1,-1
obese,1,-1
objection,1,-1
objectionable,1,-1
objections,1,-1
oblivious,1,-1
obnoxious,1,-1
obscene,1,-1
obscure,1,-1
obsessive,1,-1
obsolete,1,-1
obstructing,1,-1
obstruction,1,-1
oddly,1,-1
offend,1,-1
openly,1,1
oppose,1,-1
outburst,1,-1
outlaw,1,-1
overheat,1,-1
overlook,1,-1
overrated,1,-1
oversize,1,-1
overstate,1,-1
overwhelming,1,-1
painfully,1,-1
painless,1,1
pains,1,-1
panicking,1,-1
parody,1,-1
passionately,1,1
peaceful,1,1
pedantic,1,-2
perplexed,1,-1
persecution,1,-1
personalized,1,1
perverted,1,-1
perverts,1,-1
phobia,1,-1
pillage,1,-1
plague,1,-1
playful,1,1
pleasantly,1,1
pleasurable,1,1
ploy,1,-1
plunder,1,-1
praising,1,1
prejudice,1,-1
pricey,1,-1
prisoner,1,-1
productive,1,1
profound,1,1
prolific,1,1
prominent,1,1
promising,1,1
propaganda,1,-1
properly,1,1
protesting,1,-1
proves,1,1
provocative,1,-1
puppets,1,-1
puzzlement,1,-1
quack,1,-1
qualify,1,1
queer,1,-1
questionable,1,-1
quibble,1,-1
quitter,1,-3
rabid,1,-1
racism,1,-1
racy,1,-1
radiant,1,1
radical,1,-1
ragged,1,-1
raging,1,-1
rampant,1,-1
ranting,1,-1
rapport,1,1
rascal,1,-1
rational,1,1
raving,1,-1
realistic,1,1
reassure,1,1
recover,1,1
recovery,1,1
rectifying,1,1
refresh,1,1
refreshed,1,1
refusal,1,-1
regard,1,1
regretful,1,-1
regretfully,1,-1
reject,1,-1
rejecting,1,-1
rejection,1,-1
rejects,1,-1
reliable,1,1
relish,1,1
remorsefully,1,-1
reprehensible,1,-1
repulsed,1,-1
resent,1,-1
resentful,1,-1
resilient,1,1
resistance,1,-1
resounding,1,1
restless,1,-1
restricted,1,-1
retards,1,-1
reticent,1,-1
revelation,1,1
revolting,1,-1
revulsion,1,-1
richer,1,1
riled,1,-1
robust,1,1
rogue,1,-1
rollercoaster,1,-1
rue,1,-1
rumor,1,-1
runaway,1,-2
ruthless,1,-1
sacrificed,1,-1
sadly,1,-1
safely,1,1
sag,1,-1
sap,1,-1
sardonic,1,-1
satisfying,1,1
scandal,1,-1
scandals,1,-1
scarcely,1,-1
scarier,1,-1
scars,1,-1
scolded,1,-1
scolding,1,-1
scrambled,1,-1
scrambling,1,-1
scrap,1,-1
senseless,1,-1
severe,1,-1
shallow,1,-1
sham,1,-1
shambles,1,-1
shameless,1,-1
shamelessly,1,-1
shine,1,1
shortness,1,-1
shunned,1,-1
sicken,1,-1
siege,1,-1
simpler,1,1
sin,1,-1
sinking,1,-1
skeptic,1,-1
skeptically,1,-1
skilled,1,1
skimpy,1,-1
slaughter,1,-1
slaughtered,1,-1
slaves,1,-1
slick,1,1
sloppy,1,-1
slowed,1,-1
slug,1,-2
sluggish,1,-1
slump,1,-1
slut,1,-1
smilingly,1,1
smoother,1,1
snobby,1,-1
soapy,1,-1
solemn,1,-1
solidarity,1,1
soulful,1,1
sourly,1,-1
sparkle,1,1
spilling,1,-1
spinster,1,-1
spirited,1,1
spiritual,1,1
splendid,1,1
spontaneous,1,1
spooky,1,-1
spotless,1,1
squeaky,1,-1
squealing,1,-1
squeals,1,-1
stab,1,-1
startling,1,-1
starvation,1,-1
static,1,-1
staunch,1,1
stew,1,-1
stiff,1,-1
stifling,1,-1
stimulating,1,1
stingy,1,-1
strain,1,-1
strangely,1,-1
strangest,1,-1
strangle,1,-1
streamlined,1,1
struggled,1,-1
stubborn,1,-1
stumble,1,-1
stun,1,-1
suave,1,1
subordinate,1,-1
successfully,1,1
sucks,1,-1
sued,1,-1
suffers,1,-1
suffocate,1,-1
sunken,1,-2
superior,1,1
supported,1,1
supports,1,1
suppress,1,-1
surpass,1,1
surrender,1,-1
survival,1,1
survivor,1,1
suspicion,1,-1
swank,1,1
swanky,1,1
swelling,1,-1
symptom,1,-1
taint,1,-1
tamper,1,-1
taunt,1,-1
taunts,1,-1
tedious,1,-1
tempt,1,1
tenacious,1,1
tenderness,1,-1
terrorize,1,-1
thankful,1,1
thicker,1,-1
threaten,1,-1
throbbing,1,-1
thug,1,-1
tidy,1,1
toil,1,-1
toll,1,-2
tormented,1,-1
toughest,1,1
traction,1,1
tramp,1,-1
trample,1,-1
troublemaker,1,-1
troubling,1,-1
tumble,1,-1
tyranny,1,-1
ugliness,1,-1
unacceptable,1,-1
unappealing,1,-1
unattractive,1,-1
unavailable,1,-1
unbearable,1,-1
uncontrolled,1,-1
unconvincing,1,-1
understandable,1,1
undetermined,1,-1
uneasy,1,-1
unencumbered,1,1
unequivocally,1,1
unexpected,1,-1
unexpectedly,1,-1
unforgettable,1,1
unforgiving,1,-1
unhealthy,1,-1
uninsured,1,-1
unlimited,1,1
unmatched,1,1
unnatural,1,-1
unparalleled,1,1
unreal,1,1
unreasonable,1,-1
unrest,1,-1
unselfish,1,1
unsettled,1,-1
unsettling,1,-1
unskilled,1,-1
untimely,1,-1
unusable,1,-1
unwelcome,1,-1
uplifting,1,1
upscale,1,1
upsetting,1,-1
vague,1,-1
vanity,1,-1
vigilant,1,1
virus,1,-1
vulnerable,1,-1
warped,1,-1
weakening,1,-1
weirdly,1,-1
whimper,1,-1
whine,1,-1
whooa,1,1
wickedly,1,-1
wilt,1,-1
witty,1,1
wobbles,1,-1
worriedly,1,-1
wretched,1,-1
wretchedly,1,-1
wrinkled,1,-1
youthful,1,1
zealously,1,-1
zest,1,1
zippy,1,1
zombie,1,-1
