season,episode,mean_sent,show_number,lex
S05,E07,0.72,70,afinn
S05,E08,0.64,71,afinn
S05,E09,0.67,72,afinn
S05,E10,0.55,73,afinn
S05,E11,0.55,74,afinn
S05,E12,0.25,75,afinn
S05,E13,0.32,76,afinn
S05,E14,0.94,77,afinn
S05,E15,-0.21,78,afinn
S05,E16,0.48,79,afinn
S05,E17,0.56,80,afinn
S05,E18,0.82,81,afinn
S05,E20,0.77,82,afinn
S05,E21,0.97,83,afinn
S05,E22,0.37,84,afinn
S06,E01,-0.12,85,afinn
S06,E02,0.46,86,afinn
S06,E03,0.43,87,afinn
S06,E04,0.09,88,afinn
S06,E05,0.91,89,afinn
S06,E06,0.51,90,afinn
S06,E07,0.65,91,afinn
S06,E08,-0.01,92,afinn
S06,E09,0.72,93,afinn
S06,E10,0.57,94,afinn
S06,E11,0.57,95,afinn
S06,E12,1.08,96,afinn
S06,E13,0.22,97,afinn
S06,E16,0.48,98,afinn
S06,E17,0.56,99,afinn
S06,E18,0.39,100,afinn
S06,E19,0.72,101,afinn
S06,E20,0.32,102,afinn
S06,E21,0.61,103,afinn
S06,E22,1,104,afinn
S06,E23,0.32,105,afinn
S06,E24,0.34,106,afinn
S07,E01,0.56,107,afinn
S07,E02,0.4,108,afinn
S07,E03,0.4,109,afinn
S07,E04,0.61,110,afinn
S07,E05,-0.29,111,afinn
S07,E06,0.72,112,afinn
S07,E07,0.3,113,afinn
S07,E08,0.09,114,afinn
S07,E09,0.14,115,afinn
S07,E10,0.27,116,afinn
S07,E11,0.53,117,afinn
S07,E12,0.47,118,afinn
S07,E13,0.34,119,afinn
S07,E14,0.94,120,afinn
S07,E15,0.49,121,afinn
S07,E16,0.29,122,afinn
S07,E17,0.32,123,afinn
S07,E18,0.62,124,afinn
S07,E19,0.47,125,afinn
S07,E20,-0.02,126,afinn
S07,E21,0.22,127,afinn
S07,E22,0.11,128,afinn
S07,E23,0.15,129,afinn
S07,E24,0.2,130,afinn
S08,E01,0.03,131,afinn
S08,E02,0.39,132,afinn
S08,E03,0.24,133,afinn
S08,E04,-0.33,134,afinn
S08,E05,0.48,135,afinn
S08,E06,-0.13,136,afinn
S08,E07,0.74,137,afinn
S08,E08,0.09,138,afinn
S08,E09,0.64,139,afinn
S08,E10,-0.2,140,afinn
S08,E11,0.51,141,afinn
S08,E12,0.37,142,afinn
S08,E13,-0.05,143,afinn
S08,E14,0.23,144,afinn
S08,E15,0.36,145,afinn
S08,E16,0.46,146,afinn
S08,E17,-0.34,147,afinn
S08,E18,0.26,148,afinn
S08,E19,0.52,149,afinn
S08,E20,0.12,150,afinn
S08,E21,0.47,151,afinn
S08,E22,0.45,152,afinn
S09,E01,0.32,153,afinn
S09,E02,0.29,154,afinn
S09,E03,0.74,155,afinn
S09,E04,0.45,156,afinn
S09,E05,0.23,157,afinn
S09,E06,0.71,158,afinn
S09,E07,-0.04,159,afinn
S09,E08,0.19,160,afinn
S09,E09,0.27,161,afinn
S09,E10,0.33,162,afinn
S09,E11,-0.22,163,afinn
S09,E12,0.87,164,afinn
S09,E13,0.82,165,afinn
S09,E14,-0.01,166,afinn
S09,E15,0.53,167,afinn
S09,E16,-0.14,168,afinn
S09,E17,-0.65,169,afinn
S09,E18,0.49,170,afinn
S09,E19,0,171,afinn
S09,E20,-0.24,172,afinn
S09,E23,0.19,173,afinn
