character,word1,word2,n
Jerry,cut,cut,4
Jerry,death,blow,4
Jerry,donna,chang,4
Jerry,dont,worry,4
Jerry,door,neighbor,4
Jerry,drop,dead,4
Jerry,dylan,murphy,4
Jerry,egg,white,4
Jerry,elevator,doors,4
Jerry,fell,asleep,4
Jerry,fifty,bucks,4
Jerry,funny,now,4
Jerry,god,bless,4
Jerry,golden,boy,4
Jerry,gonna,leave,4
Jerry,gonna,meet,4
Jerry,gonna,talk,4
Jerry,gonna,wear,4
Jerry,gotta,call,4
Jerry,green,lantern,4
Jerry,half,hour,4
Jerry,happy,birthday,4
Jerry,head,start,4
Jerry,health,club,4
Jerry,hot,dog,4
Jerry,joe,dimaggio,4
Jerry,kitchen,floor,4
Jerry,minutes,ago,4
Jerry,nice,guy,4
Jerry,prognosis,negative,4
Jerry,puffy,shirt,4
Jerry,raquel,welch,4
Jerry,serial,killer,4
Jerry,shh,shh,4
Jerry,stupid,idiot,4
Jerry,sue,ellen,4
Jerry,table,book,4
Jerry,told,ya,4
Jerry,tractor,story,4
Jerry,velvet,fog,4
Jerry,women,nest,4
Jerry,yada,yada,4
Kramer,alright,fine,4
Kramer,buren,boys,4
Kramer,cafe,latte,4
Kramer,coffee,shop,4
Kramer,dont,understand,4
Kramer,gonna,throw,4
Kramer,gotta,meet,4
Kramer,hee,hoo,4
Kramer,lay,hee,4
Kramer,phone,rings,4
Kramer,real,cubans,4
Kramer,ten,minutes,4
Kramer,terrific,happy,4
Kramer,thousand,dollars,4
Kramer,tote,bags,4
Kramer,vacuum,cleaner,4
Kramer,woah,woah,4
Kramer,yodel,lay,4
Elaine,50,bucks,3
Elaine,air,conditioning,3
Elaine,alright,fine,3
Elaine,art,vandelay,3
Elaine,bah,bah,3
Elaine,call,jill,3
Elaine,car,keys,3
Elaine,car,phone,3
Elaine,cat,fight,3
Elaine,chinese,food,3
Elaine,cinqo,de,3
Elaine,dr,burke,3
Elaine,driver's,license,3
Elaine,ellen,mishke,3
Elaine,entire,life,3
Elaine,fake,fake,3
Elaine,fax,machine,3
Elaine,front,row,3
Elaine,ga,ga,3
Elaine,gonna,miss,3
Elaine,gotta,stop,3
Elaine,himalayan,walking,3
Elaine,joel,rifkin,3
Elaine,kosher,meal,3
Elaine,miss,landis,3
Elaine,months,ago,3
Elaine,naked,naked,3
Elaine,nice,people,3
Elaine,parking,space,3
Elaine,pay,attention,3
Elaine,pendant,publishing,3
Elaine,raquel,welch,3
Elaine,red,dot,3
Elaine,rock,climbing,3
Elaine,sack,lunch,3
Elaine,schindler's,list,3
Elaine,shoes,shoes,3
Elaine,sponge,worthy,3
Elaine,stupid,friend,3
Elaine,super,bowl,3
Elaine,todd,gack,3
Elaine,toilet,paper,3
Elaine,tomorrow,night,3
Elaine,touched,em,3
Elaine,twenty,bucks,3
Elaine,upper,lip,3
Elaine,vegetable,lasagna,3
Elaine,water,pik,3
Elaine,whats,happening,3
Frank,hoochie,mama,3
Frank,tommy,tune,3
Frank,wanna,bet,3
George,15,minutes,3
George,5th,avenue,3
George,81st,street,3
George,ah,excuse,3
George,ah,im,3
George,al,netchie,3
George,alright,listen,3
George,andrea,doria,3
George,answering,machine,3
George,antique,store,3
George,arabian,mocha,3
George,avenue,bar,3
George,bald,bald,3
George,boom,box,3
George,broker,houses,3
George,buffer,zone,3
George,candy,line,3
George,car,accident,3
George,chocolate,chip,3
George,christmas,card,3
George,chuckles,nervously,3
George,civil,war,3
George,cousin,vinnie,3
George,crop,circles,3
George,crossword,puzzle,3
George,daily,worker,3
George,danson,makes,3
George,diane,deconn,3
George,dollar,bill,3
George,drink,coffee,3
George,duty,free,3
George,entering,jerry's,3
George,fantasy,camp,3
George,feel,terrible,3
George,fiance,susan,3
George,fifty,cents,3
George,fine,fine,3
George,gonna,change,3
George,gonna,pay,3
George,gotta,hurt,3
George,gotta,run,3
George,gotta,talk,3
George,half,hour,3
George,hampton,tomatoes,3
George,happy,now,3
George,health,club,3
George,hot,dogs,3
George,hot,tub,3
George,ice,cream,3
George,im,gonna,3
George,im,im,3
George,im,outta,3
George,importer,exporter,3
George,jerry's,apartment,3
George,june,june,3
George,laughs,nervously,3
George,liquor,store,3
George,lucky,day,3
George,march,21st,3
George,mario's,pizza,3
George,merry,christmas,3
George,mister,dalrimple,3
George,mocha,java,3
George,mom,dad,3
George,murphy,brown,3
George,muy,muy,3
George,neck,hole,3
George,ni,ni,3
George,nose,job,3
George,pensky,file,3
George,phone,calls,3
George,portuguese,waitress,3
George,sack,mister,3
George,scene,cuts,3
George,shake,hands,3
George,short,stocky,3
George,store,called,3
George,susan,susan,3
George,ten,thousand,3
George,thirteen,thousand,3
George,um,excuse,3
George,unemployment,office,3
George,united,volunteers,3
George,veggie,burger,3
George,weeks,ago,3
George,west,81st,3
George,whoa,whoa,3
George,wig,master,3
George,woah,woah,3
George,ya,gotta,3
George,ya,ya,3
Jerry,12,gauge,3
Jerry,30,love,3
Jerry,300,bucks,3
Jerry,50,bucks,3
Jerry,air,conditioner,3
Jerry,alec,berg,3
Jerry,answering,machine,3
Jerry,anti,semite,3
Jerry,apartment,door,3
Jerry,bad,idea,3
Jerry,bald,cure,3
Jerry,bizarro,world,3
Jerry,blind,date,3
Jerry,bomb,threat,3
Jerry,buddy,boy,3
Jerry,buffer,zone,3
Jerry,buh,bye,3
Jerry,burns,baseball,3
Jerry,call,now,3
Jerry,call,waiting,3
Jerry,cheque,book,3
Jerry,chicken,salad,3
Jerry,coffee,cake,3
Jerry,crazy,joe,3
Jerry,dinky,donuts,3
Jerry,doggie,bag,3
Jerry,dont,understand,3
Jerry,door,buzzer,3
Jerry,drakes,coffee,3
Jerry,eee,aaa,3
Jerry,egg,salad,3
Jerry,ellen,mishke,3
Jerry,extra,ticket,3
Jerry,federal,express,3
Jerry,feel,bad,3
Jerry,fine,fine,3
Jerry,foot,fell,3
Jerry,frankie,frankie,3
Jerry,front,seat,3
Jerry,ga,ga,3
Jerry,game,tonight,3
Jerry,george's,father,3
Jerry,george's,wedding,3
Jerry,gift,certificate,3
Jerry,god's,sake,3
Jerry,gotta,run,3
